phenotype1	phenotype2	rg	se
WorstEpisodeA1 	WorstEpisodeA2 	0.946	0.024
WorstEpisodeA1 	WorstEpisodeA3 	0.267	0.13
WorstEpisodeA1	WorstEpisodeA3a 	0.232	0.117
WorstEpisodeA1	WorstEpisodeA3b	-0.025	0.16
WorstEpisodeA1	WorstEpisodeA3c 	0.502	0.309
WorstEpisodeA1 	WorstEpisodeA4 	0.571	0.167
WorstEpisodeA1	WorstEpisodeA4a 	0.056	0.136
WorstEpisodeA1	WorstEpisodeA4b 	0.446	0.193
WorstEpisodeA1	WorstEpisodeA4c	-0.033	0.126
WorstEpisodeA1 	WorstEpisodeA6 	0.404	0.104
WorstEpisodeA1 	WorstEpisodeA7 	0.572	0.103
WorstEpisodeA1 	WorstEpisodeA8 	0.39	0.1
WorstEpisodeA1 	WorstEpisodeA9 	0.356	0.128
WorstEpisodeA2 	WorstEpisodeA3 	0.348	0.122
WorstEpisodeA2	WorstEpisodeA3a 	0.417	0.099
WorstEpisodeA2	WorstEpisodeA3b	-0.124	0.158
WorstEpisodeA2	WorstEpisodeA3c 	0.58	0.31
WorstEpisodeA2 	WorstEpisodeA4 	0.657	0.143
WorstEpisodeA2	WorstEpisodeA4a 	0.156	0.13
WorstEpisodeA2	WorstEpisodeA4b 	0.59	0.194
WorstEpisodeA2	WorstEpisodeA4c	-0.037	0.117
WorstEpisodeA2 	WorstEpisodeA6 	0.616	0.086
WorstEpisodeA2 	WorstEpisodeA7 	0.595	0.079
WorstEpisodeA2 	WorstEpisodeA8 	0.538	0.086
WorstEpisodeA2 	WorstEpisodeA9 	0.32	0.108
WorstEpisodeA3	WorstEpisodeA3a 	0.722	0.122
WorstEpisodeA3	WorstEpisodeA3b 	0.455	0.142
WorstEpisodeA3	WorstEpisodeA3c 	0.633	0.306
WorstEpisodeA3 	WorstEpisodeA4 	0.616	0.205
WorstEpisodeA3	WorstEpisodeA4a 	0.319	0.172
WorstEpisodeA3	WorstEpisodeA4b	-0.054	0.236
WorstEpisodeA3	WorstEpisodeA4c 	0.418	0.207
WorstEpisodeA3 	WorstEpisodeA6 	0.343	0.151
WorstEpisodeA3 	WorstEpisodeA7 	0.329	0.136
WorstEpisodeA3 	WorstEpisodeA8 	0.243	0.14
WorstEpisodeA3 	WorstEpisodeA9 	0.298	0.17
WorstEpisodeA3a	WorstEpisodeA3b	-0.27	0.195
WorstEpisodeA3a	WorstEpisodeA3c 	0.854	0.551
WorstEpisodeA3a 	WorstEpisodeA4 	0.591	0.259
WorstEpisodeA3a	WorstEpisodeA4a 	0.419	0.207
WorstEpisodeA3a	WorstEpisodeA4b 	0.079	0.235
WorstEpisodeA3a	WorstEpisodeA4c 	0.342	0.207
WorstEpisodeA3a 	WorstEpisodeA6 	0.27	0.168
WorstEpisodeA3a 	WorstEpisodeA7 	0.369	0.14
WorstEpisodeA3a 	WorstEpisodeA8 	0.426	0.173
WorstEpisodeA3a 	WorstEpisodeA9 	0.239	0.193
WorstEpisodeA3b	WorstEpisodeA3c	-0.318	0.393
WorstEpisodeA3b 	WorstEpisodeA4 	0.151	0.234
WorstEpisodeA3b	WorstEpisodeA4a 	0.138	0.218
WorstEpisodeA3b	WorstEpisodeA4b	-0.206	0.342
WorstEpisodeA3b	WorstEpisodeA4c 	0.074	0.25
WorstEpisodeA3b 	WorstEpisodeA6	-0.005	0.182
WorstEpisodeA3b 	WorstEpisodeA7	-0.049	0.186
WorstEpisodeA3b 	WorstEpisodeA8	-0.137	0.214
