MDD_symptoms	external_symptoms	rg	se
WorstEpisodeA1	subjectivewellbeing.general	-0.558	0.149
PHQ9A1	subjectivewellbeing.general	-0.676	0.111
WorstEpisodeA4	insomnia.baseline	0.469	0.12
PHQ9A4	insomnia.baseline	0.774	0.046
WorstEpisodeA7	selfworth.subjectivewellbeing.lifemeaningful	-0.404	0.107
PHQ9A7	selfworth.subjectivewellbeing.lifemeaningful	-0.526	0.093
WorstEpisodeA9	selfharm.notworthliving	0.66	0.108
PHQ9A9	selfharm.notworthliving	0.768	0.092
WorstEpisodeA1	anxiety.cantstopworrying	0.641	0.115
WorstEpisodeA2	anxiety.cantstopworrying	0.773	0.109
WorstEpisodeA3	anxiety.cantstopworrying	0.156	0.205
WorstEpisodeA4	anxiety.cantstopworrying	0.436	0.248
WorstEpisodeA6	anxiety.cantstopworrying	0.41	0.183
WorstEpisodeA7	anxiety.cantstopworrying	0.251	0.168
WorstEpisodeA8	anxiety.cantstopworrying	0.342	0.234
WorstEpisodeA9	anxiety.cantstopworrying	0.369	0.22
WorstEpisodeA1	anxiety.foreboding	0.761	0.115
WorstEpisodeA2	anxiety.foreboding	0.743	0.107
WorstEpisodeA3	anxiety.foreboding	0.288	0.154
WorstEpisodeA4	anxiety.foreboding	0.889	0.268
WorstEpisodeA6	anxiety.foreboding	0.37	0.155
WorstEpisodeA7	anxiety.foreboding	0.369	0.145
WorstEpisodeA8	anxiety.foreboding	0.424	0.178
WorstEpisodeA9	anxiety.foreboding	0.344	0.176
WorstEpisodeA1	anxiety.irritability	0.634	0.102
WorstEpisodeA2	anxiety.irritability	0.739	0.097
WorstEpisodeA3	anxiety.irritability	0.376	0.165
WorstEpisodeA4	anxiety.irritability	0.713	0.244
WorstEpisodeA6	anxiety.irritability	0.345	0.145
WorstEpisodeA7	anxiety.irritability	0.518	0.123
WorstEpisodeA8	anxiety.irritability	0.338	0.144
WorstEpisodeA9	anxiety.irritability	0.617	0.195
WorstEpisodeA1	anxiety.restlessness	0.72	0.198
WorstEpisodeA2	anxiety.restlessness	0.694	0.194
WorstEpisodeA3	anxiety.restlessness	0.542	0.281
WorstEpisodeA4	anxiety.restlessness	1.085	0.437
WorstEpisodeA6	anxiety.restlessness	0.522	0.232
WorstEpisodeA7	anxiety.restlessness	0.145	0.197
WorstEpisodeA8	anxiety.restlessness	0.489	0.257
WorstEpisodeA9	anxiety.restlessness	0.353	0.28
